17/10/22 00:08:43 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.1-hadoop2
17/10/22 00:08:43 INFO client.RMProxy: Connecting to ResourceManager at cluster-780d-m/10.138.0.5:8032
17/10/22 00:08:44 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/10/22 00:08:47 INFO input.FileInputFormat: Total input files to process : 3035
17/10/22 00:08:47 INFO mapreduce.JobSubmitter: number of splits:3035
17/10/22 00:08:47 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1508615598063_0002
17/10/22 00:08:47 INFO impl.YarnClientImpl: Submitted application application_1508615598063_0002
17/10/22 00:08:48 INFO mapreduce.Job: The url to track the job: http://cluster-780d-m:8088/proxy/application_1508615598063_0002/
17/10/22 00:08:48 INFO mapreduce.Job: Running job: job_1508615598063_0002
17/10/22 00:08:56 INFO mapreduce.Job: Job job_1508615598063_0002 running in uber mode : false
17/10/22 00:08:56 INFO mapreduce.Job:  map 0% reduce 0%
17/10/22 00:09:33 INFO mapreduce.Job:  map 1% reduce 0%
17/10/22 00:10:24 INFO mapreduce.Job:  map 2% reduce 0%
17/10/22 00:11:09 INFO mapreduce.Job:  map 3% reduce 0%
17/10/22 00:11:59 INFO mapreduce.Job:  map 4% reduce 0%
17/10/22 00:12:49 INFO mapreduce.Job:  map 5% reduce 0%
17/10/22 00:13:34 INFO mapreduce.Job:  map 6% reduce 0%
17/10/22 00:14:18 INFO mapreduce.Job:  map 7% reduce 0%
17/10/22 00:15:06 INFO mapreduce.Job:  map 8% reduce 0%
17/10/22 00:15:48 INFO mapreduce.Job:  map 9% reduce 0%
17/10/22 00:16:33 INFO mapreduce.Job:  map 10% reduce 0%
17/10/22 00:17:18 INFO mapreduce.Job:  map 11% reduce 0%
17/10/22 00:18:04 INFO mapreduce.Job:  map 12% reduce 0%
17/10/22 00:18:49 INFO mapreduce.Job:  map 13% reduce 0%
17/10/22 00:19:32 INFO mapreduce.Job:  map 14% reduce 0%
17/10/22 00:20:15 INFO mapreduce.Job:  map 15% reduce 0%
17/10/22 00:21:00 INFO mapreduce.Job:  map 16% reduce 0%
17/10/22 00:21:44 INFO mapreduce.Job:  map 17% reduce 0%
17/10/22 00:22:28 INFO mapreduce.Job:  map 18% reduce 0%
17/10/22 00:23:11 INFO mapreduce.Job:  map 19% reduce 0%
17/10/22 00:23:57 INFO mapreduce.Job:  map 20% reduce 0%
17/10/22 00:24:38 INFO mapreduce.Job:  map 21% reduce 0%
17/10/22 00:25:25 INFO mapreduce.Job:  map 22% reduce 0%
17/10/22 00:26:07 INFO mapreduce.Job:  map 23% reduce 0%
17/10/22 00:26:52 INFO mapreduce.Job:  map 24% reduce 0%
17/10/22 00:27:32 INFO mapreduce.Job:  map 25% reduce 0%
17/10/22 00:28:20 INFO mapreduce.Job:  map 26% reduce 0%
17/10/22 00:29:02 INFO mapreduce.Job:  map 27% reduce 0%
17/10/22 00:29:42 INFO mapreduce.Job:  map 28% reduce 0%
17/10/22 00:30:26 INFO mapreduce.Job:  map 29% reduce 0%
17/10/22 00:31:09 INFO mapreduce.Job:  map 30% reduce 0%
17/10/22 00:31:53 INFO mapreduce.Job:  map 31% reduce 0%
17/10/22 00:32:35 INFO mapreduce.Job:  map 32% reduce 0%
17/10/22 00:33:18 INFO mapreduce.Job:  map 33% reduce 0%
17/10/22 00:34:01 INFO mapreduce.Job:  map 34% reduce 0%
17/10/22 00:34:44 INFO mapreduce.Job:  map 35% reduce 0%
17/10/22 00:35:28 INFO mapreduce.Job:  map 36% reduce 0%
17/10/22 00:36:08 INFO mapreduce.Job:  map 37% reduce 0%
